Day,Month,Year,Delhi
26,April,2019,73.02
27,April,2019,73.08
28,April,2019,73.08
29,April,2019,73.08
30,April,2019,73.13
1,May,2019,73.13
2,May,2019,73.07
3,May,2019,73.07
4,May,2019,73.13
5,May,2019,73.07
6,May,2019,73
7,May,2019,73
8,May,2019,73
9,May,2019,72.84
10,May,2019,72.63
11,May,2019,72.15
12,May,2019,71.73
13,May,2019,71.43
14,May,2019,71.18
15,May,2019,71.18
16,May,2019,71.18
17,May,2019,71.1
18,May,2019,71.03
19,May,2019,71.03
20,May,2019,71.12
21,May,2019,71.17
22,May,2019,71.17
23,May,2019,71.25
24,May,2019,71.39
25,May,2019,71.53
26,May,2019,71.67
27,May,2019,71.77
28,May,2019,71.86
29,May,2019,71.86
30,May,2019,71.8
31,May,2019,71.73
1,June,2019,71.62
2,June,2019,71.5
3,June,2019,71.3
4,June,2019,71.23
5,June,2019,71.23
6,June,2019,71.07
7,June,2019,70.94
8,June,2019,70.72
9,June,2019,70.56
10,June,2019,70.43
11,June,2019,70.43
12,June,2019,70.43
13,June,2019,70.35
14,June,2019,70.18
15,June,2019,69.99
16,June,2019,69.93
17,June,2019,69.93
18,June,2019,69.93
19,June,2019,69.93
20,June,2019,69.93
21,June,2019,69.93
22,June,2019,69.93
23,June,2019,69.98
24,June,2019,70.05
25,June,2019,70.05
26,June,2019,70.05
27,June,2019,70.12
28,June,2019,70.17
29,June,2019,70.28
30,June,2019,70.37
1,July,2019,70.44
2,July,2019,70.51
3,July,2019,70.51
4,July,2019,70.51
5,July,2019,70.51
6,July,2019,72.96
7,July,2019,72.96
8,July,2019,72.96
9,July,2019,72.9
10,July,2019,72.9
11,July,2019,72.9
12,July,2019,72.9
13,July,2019,72.99
14,July,2019,73.08
15,July,2019,73.21
16,July,2019,73.27
17,July,2019,73.27
18,July,2019,73.35
19,July,2019,73.35
20,July,2019,73.35
21,July,2019,73.35
22,July,2019,73.35
23,July,2019,73.41
24,July,2019,73.41
25,July,2019,73.35
26,July,2019,73.29
27,July,2019,73.24
28,July,2019,73.14
29,July,2019,72.99
30,July,2019,72.86
31,July,2019,72.86
1,August,2019,72.8
2,August,2019,72.69
3,August,2019,72.62
4,August,2019,72.52
5,August,2019,72.37
6,August,2019,72.28
7,August,2019,72.28
8,August,2019,72.23
9,August,2019,72.08
10,August,2019,72.08
11,August,2019,71.99
12,August,2019,71.99
13,August,2019,71.99
14,August,2019,71.99
15,August,2019,71.99
16,August,2019,71.99
17,August,2019,71.99
18,August,2019,71.91
19,August,2019,71.84
20,August,2019,71.84
21,August,2019,71.84
22,August,2019,71.84
23,August,2019,71.84
24,August,2019,71.92
25,August,2019,71.99
26,August,2019,72.07
27,August,2019,72.07
28,August,2019,72.07
29,August,2019,72.01
30,August,2019,72.01
31,August,2019,72.01
1,September,2019,72.01
2,September,2019,72.01
3,September,2019,72.01
4,September,2019,72.01
5,September,2019,71.95
6,September,2019,71.86
7,September,2019,71.77
8,September,2019,71.71
9,September,2019,71.71
10,September,2019,71.76
11,September,2019,71.76
12,September,2019,71.82
13,September,2019,71.89
14,September,2019,71.97
15,September,2019,72.03
16,September,2019,72.03
17,September,2019,72.17
18,September,2019,72.42
19,September,2019,72.71
20,September,2019,73.06
21,September,2019,73.35
22,September,2019,73.62
23,September,2019,73.91
24,September,2019,74.13
25,September,2019,74.13
26,September,2019,74.19
27,September,2019,74.34
28,September,2019,74.34
29,September,2019,74.34
30,September,2019,74.42
1,October,2019,74.61
2,October,2019,74.61
3,October,2019,74.51
4,October,2019,74.33
5,October,2019,74.04
6,October,2019,73.89
7,October,2019,73.76
8,October,2019,73.59
9,October,2019,73.59
10,October,2019,73.54
11,October,2019,73.42
12,October,2019,73.32
13,October,2019,73.32
14,October,2019,73.32
15,October,2019,73.27
16,October,2019,73.27
17,October,2019,73.27
18,October,2019,73.27
19,October,2019,73.27
20,October,2019,73.27
21,October,2019,73.27
22,October,2019,73.22
23,October,2019,73.22
24,October,2019,73.17
25,October,2019,73.06
26,October,2019,72.98
27,October,2019,72.98
28,October,2019,72.98
29,October,2019,72.92
30,October,2019,72.92
31,October,2019,72.92
1,November,2019,72.86
2,November,2019,72.81
3,November,2019,72.74
4,November,2019,72.65
5,November,2019,72.6
6,November,2019,72.6
7,November,2019,72.6
8,November,2019,72.7
9,November,2019,72.85
10,November,2019,73.05
11,November,2019,73.2
12,November,2019,73.3
13,November,2019,73.3
14,November,2019,73.45
15,November,2019,73.63
16,November,2019,73.77
17,November,2019,73.89
18,November,2019,74.05
19,November,2019,74.2
20,November,2019,74.2
21,November,2019,74.2
22,November,2019,74.35
23,November,2019,74.44
24,November,2019,74.54
25,November,2019,74.66
26,November,2019,74.76
27,November,2019,74.76
28,November,2019,74.76
29,November,2019,74.81
30,November,2019,74.86
1,December,2019,74.91
2,December,2019,74.91
3,December,2019,74.91
4,December,2019,74.91
5,December,2019,74.91
6,December,2019,74.86
7,December,2019,74.86
8,December,2019,74.95
9,December,2019,75
10,December,2019,75
11,December,2019,75
12,December,2019,74.95
13,December,2019,74.89
14,December,2019,74.84
15,December,2019,74.74
16,December,2019,74.69
17,December,2019,74.63
18,December,2019,74.63
19,December,2019,74.63
20,December,2019,74.63
21,December,2019,74.63
22,December,2019,74.63
23,December,2019,74.63
24,December,2019,74.63
25,December,2019,74.63
26,December,2019,74.68
27,December,2019,74.74
28,December,2019,74.74
29,December,2019,74.88
30,December,2019,75.04
31,December,2019,75.14
1,January,2020,75.14
2,January,2020,75.25
3,January,2020,75.35
4,January,2020,75.45
5,January,2020,75.54
6,January,2020,75.69
7,January,2020,75.74
8,January,2020,75.74
9,January,2020,75.81
10,January,2020,75.96
11,January,2020,76.01
12,January,2020,75.9
13,January,2020,75.8
14,January,2020,75.7
15,January,2020,75.7
16,January,2020,75.55
17,January,2020,75.41
18,January,2020,75.26
19,January,2020,75.09
20,January,2020,74.98
21,January,2020,74.82
22,January,2020,74.82
23,January,2020,74.65
24,January,2020,74.43
25,January,2020,74.16
26,January,2020,73.86
27,January,2020,73.71
28,January,2020,73.6
29,January,2020,73.6
30,January,2020,73.36
31,January,2020,73.27
1,February,2020,73.19
2,February,2020,73.1
3,February,2020,73.04
4,February,2020,72.98
5,February,2020,72.98
6,February,2020,72.89
7,February,2020,72.68
8,February,2020,72.45
9,February,2020,72.23
10,February,2020,72.1
11,February,2020,71.94
12,February,2020,71.94
13,February,2020,71.94
14,February,2020,71.94
15,February,2020,71.94
16,February,2020,71.94
17,February,2020,71.94
18,February,2020,71.89
19,February,2020,71.89
20,February,2020,71.89
21,February,2020,71.89
22,February,2020,71.94
23,February,2020,72.01
24,February,2020,72.01
25,February,2020,72.01
26,February,2020,72.01
27,February,2020,71.96
28,February,2020,71.96
29,February,2020,71.89
1,March,2020,71.75
2,March,2020,71.53
3,March,2020,71.48
4,March,2020,71.48
5,March,2020,71.33
6,March,2020,71.18
7,March,2020,71.06
8,March,2020,70.87
9,March,2020,70.63
10,March,2020,70.33
11,March,2020,70.33
12,March,2020,70.18
13,March,2020,70.04
14,March,2020,69.91
15,March,2020,69.79
16,March,2020,69.63
17,March,2020,69.63
18,March,2020,69.63
19,March,2020,69.63
20,March,2020,69.63
21,March,2020,69.63
22,March,2020,69.63
